age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,jail_time,sex,race,c_charge_degree,decile_score,two_year_recid,compas_score,compas_class
69,0,0,0,0,0.0,1,1,1,1,0,0.1,0
34,0,0,0,0,10.0,1,2,1,3,1,0.3,0
24,0,0,1,4,1.0,1,2,1,4,1,0.4,0
23,0,1,0,1,0.0,1,2,1,8,0,0.8,1
43,0,0,0,2,0.0,1,1,1,1,0,0.1,0
44,0,0,0,0,1.0,1,1,2,1,0,0.1,0
41,0,0,0,14,6.0,1,3,1,6,1,0.6,0
43,0,0,0,3,0.0,1,1,1,4,0,0.4,0
39,0,0,0,0,2.0,2,3,2,1,0,0.1,0
21,0,0,0,1,0.0,1,3,1,3,1,0.3,0
27,0,0,0,0,1.0,1,3,1,4,0,0.4,0
23,0,0,0,3,4.0,1,2,2,6,1,0.6,0
37,0,0,0,0,0.0,2,3,2,1,0,0.1,0
41,0,0,0,0,0.0,1,2,1,4,0,0.4,0
47,0,0,0,1,14.0,2,3,1,1,1,0.1,0
31,0,0,0,7,3.0,1,2,1,3,1,0.3,0
37,0,0,0,0,0.0,1,4,2,1,0,0.1,0
25,0,0,0,3,1.0,1,2,1,10,0,1.0,1
31,0,0,0,6,1.0,1,3,1,5,1,0.5,0
31,0,0,0,5,1.0,1,3,1,3,1,0.3,0
64,0,0,0,13,1.0,1,2,1,6,1,0.6,0
21,0,0,0,1,3.0,1,2,1,9,1,0.9,1
27,0,0,0,0,0.0,1,3,2,2,1,0.2,0
21,0,0,0,0,1.0,2,3,1,4,0,0.4,0
24,0,0,0,1,0.0,1,4,1,4,1,0.4,0
43,0,0,0,1,1.0,1,3,2,1,0,0.1,0
32,0,0,0,0,1.0,1,1,2,3,0,0.3,0
27,0,0,0,8,17.0,1,2,1,3,1,0.3,0
36,0,0,0,3,0.0,2,3,1,3,0,0.3,0
26,0,0,1,5,0.0,1,2,1,7,1,0.7,1
33,0,0,0,0,37.0,1,2,1,10,1,1.0,1
30,0,0,0,9,44.0,1,3,1,9,1,0.9,1
32,0,0,0,4,1.0,1,2,1,8,1,0.8,1
55,0,0,0,0,2.0,1,3,1,1,0,0.1,0
49,0,0,0,7,3.0,1,1,1,3,1,0.3,0
26,0,0,2,6,12.0,1,3,2,8,0,0.8,1
33,0,0,0,4,11.0,2,3,2,5,1,0.5,0
24,0,0,0,1,1.0,1,3,2,2,1,0.2,0
34,2,1,3,21,33.0,1,2,1,9,1,0.9,1
29,0,0,0,0,-1.0,1,3,2,2,0,0.2,0
21,0,0,0,2,79.0,2,2,1,8,0,0.8,1
51,0,0,0,2,1.0,1,2,2,1,0,0.1,0
29,0,0,0,2,0.0,1,3,2,2,1,0.2,0
51,0,0,0,7,1.0,2,2,1,2,0,0.2,0
29,0,0,0,0,0.0,1,2,1,7,1,0.7,1
25,0,0,0,9,6.0,1,3,2,10,1,1.0,1
35,1,0,4,13,0.0,1,2,1,8,1,0.8,1
49,0,0,0,0,0.0,1,3,2,1,0,0.1,0
34,0,0,0,4,51.0,1,2,2,3,1,0.3,0
29,0,0,0,0,0.0,1,2,1,4,0,0.4,0
29,0,0,0,1,0.0,1,3,1,2,1,0.2,0
28,0,0,0,0,0.0,2,1,1,2,0,0.2,0
48,0,0,0,20,10.0,1,3,1,6,1,0.6,0
63,0,0,0,1,8.0,2,4,1,1,0,0.1,0
31,0,0,1,15,135.0,1,2,1,5,0,0.5,0
24,0,0,0,2,1.0,1,2,1,4,1,0.4,0
30,0,0,0,0,23.0,1,4,2,7,0,0.7,1
49,0,0,0,4,0.0,1,2,2,1,0,0.1,0
53,0,0,0,8,13.0,1,3,1,5,0,0.5,0
35,0,0,0,5,0.0,1,2,1,3,0,0.3,0
63,0,0,0,10,35.0,1,2,2,7,1,0.7,1
27,1,1,2,15,1.0,1,2,1,10,1,1.0,1
38,0,0,0,4,1.0,1,3,2,2,1,0.2,0
22,0,0,1,1,1.0,1,2,1,4,1,0.4,0
22,0,1,2,2,124.0,1,2,1,10,1,1.0,1
29,0,0,0,4,18.0,1,2,1,9,1,0.9,1
62,0,0,0,0,-1.0,1,4,2,1,0,0.1,0
27,0,1,0,6,30.0,1,2,1,6,1,0.6,0
33,0,0,0,0,1.0,1,1,2,1,0,0.1,0
56,0,0,0,0,3.0,2,2,2,1,0,0.1,0
45,0,0,0,6,241.0,1,4,1,1,1,0.1,0
22,0,0,0,1,1.0,1,4,1,4,0,0.4,0
